Date/Time,Word Count,ab,en,fr,fr-FR
2024.12.13-14.05.54,256,0,256,0,0
2024.12.13-14.32.23,150,0,150,0,0
2024.12.13-14.34.59,148,0,148,0,0
2024.12.13-14.47.15,135,0,135,0,0
2024.12.13-14.50.36,133,0,133,0,0
2024.12.13-15.09.08,133,0,133,0,128
2024.12.13-15.09.18,128,0,128,0,119
2024.12.13-15.10.20,127,0,127,0,121
2024.12.13-15.10.50,127,0,127,0,127
2024.12.13-15.12.59,124,0,124,0,124
2024.12.13-15.26.46,124,0,124,0,120
2024.12.13-15.51.50,124,124,124,0,124
2024.12.13-16.30.06,125,124,125,0,124
2024.12.13-16.33.43,134,124,134,0,125
2024.12.13-17.19.36,134,124,134,0,134
2024.12.13-17.34.51,134,134,134,0,134
2024.12.17-16.57.30,200,126,200,0,126
2024.12.19-09.21.00,209,0,209,0,125
2024.12.19-09.38.09,167,0,167,0,149
2024.12.19-09.39.30,167,0,167,0,154
2024.12.19-09.40.44,161,0,161,0,154
2024.12.19-09.51.50,163,0,163,0,154
2024.12.19-09.52.14,163,0,163,0,156
2024.12.19-09.54.50,168,0,168,0,156
2024.12.20-09.07.41,168,0,168,0,159
2024.12.20-09.08.01,168,0,168,0,161
2025.03.12-15.01.53,990,0,990,0,20
2025.04.07-10.57.54,1036,0,1036,0,14
2025.04.07-11.27.34,1036,0,1036,0,87
2025.04.07-12.42.03,1036,0,1036,0,92
2025.04.08-15.43.38,979,0,979,0,110
2025.04.09-12.53.46,802,0,802,0,108
2025.04.09-13.02.06,780,0,780,0,92
2025.04.11-15.08.01,742,0,742,0,0
2025.04.11-15.12.55,747,0,747,0,0
2025.04.11-15.15.46,747,0,747,0,1
2025.04.11-16.00.58,788,0,788,0,1
2025.04.12-16.20.52,788,0,788,0,699
2025.04.12-16.23.24,788,0,788,0,788
2025.04.30-16.39.10,807,0,807,0,773
2025.05.07-10.19.28,832,0,832,0,773
2025.05.07-10.30.33,832,0,832,0,815
2025.05.07-10.31.58,832,0,832,0,832
2025.05.19-15.41.44,1092,0,1092,0,683
2025.05.19-16.11.08,1092,0,1092,0,1088
2025.05.20-11.13.04,1104,0,1104,0,1059
2025.06.03-14.28.39,1039,0,1039,0,0
2025.06.03-14.31.43,1039,0,1039,11,0
2025.06.03-14.34.19,1039,0,1039,13,0
2025.06.06-12.34.03,1039,0,1039,0,4
2025.06.06-12.42.01,1038,0,1038,0,0
2025.06.06-12.43.03,1038,0,1038,0,5
2025.06.06-14.17.28,2303,0,2303,0,5
2025.06.06-14.18.06,1038,0,1038,0,5
2025.06.11-09.43.06,1056,0,1056,0,5
2025.06.11-09.52.44,1056,0,1056,0,6
2025.06.11-09.55.08,1057,0,1057,0,6
2025.06.11-09.56.10,1056,0,1056,0,6
2025.06.11-16.03.44,1056,0,1056,0,941
2025.06.11-16.51.37,1240,0,1240,0,941
2025.06.12-09.33.40,1242,0,1242,0,941
2025.06.12-09.38.36,1242,0,1242,0,972
2025.06.12-09.50.20,1242,0,1242,0,1127
2025.06.12-09.51.14,1242,0,1242,0,1128
2025.06.12-10.33.18,1247,0,1247,0,1128
2025.06.12-10.34.22,1247,0,1247,0,1133
2025.06.12-11.38.50,1327,0,1327,0,1133
2025.06.12-11.45.37,1327,0,1327,0,1213
2025.06.12-11.47.17,1328,0,1328,0,1213
2025.06.12-11.48.08,1328,0,1328,0,1214
2025.06.16-14.39.30,1519,0,1519,0,762
2025.06.16-15.21.21,1519,0,1519,0,1519
2025.06.16-15.23.49,1525,0,1525,0,1344
2025.06.16-15.25.37,1525,0,1525,0,1525
2025.06.20-15.50.14,1675,0,1675,0,1495
2025.06.20-15.57.03,1675,0,1675,0,1659
2025.06.20-16.10.57,1672,0,1672,0,1659
2025.06.20-16.12.31,1671,0,1671,0,1661
2025.06.20-16.12.50,1671,0,1671,0,1671
2025.06.25-18.34.48,1671,0,1671,0,1562
2025.06.25-18.35.59,1671,0,1671,0,1671
2025.06.27-09.44.41,1678,0,1678,0,1671
2025.06.27-09.47.01,1678,0,1678,0,1678
2025.06.27-13.43.33,1698,0,1698,0,1678
2025.06.27-13.45.33,1698,0,1698,0,1698
2025.06.27-20.08.04,1707,0,1707,0,1698
2025.06.27-20.08.44,1707,0,1707,0,1707
2025.07.04-20.24.22,1718,0,1718,0,1707
2025.07.04-20.25.25,1718,0,1718,0,1718
2025.07.19-10.24.54,1716,0,1716,0,1708
2025.07.19-10.30.00,1716,0,1716,0,1716
2025.07.19-14.17.25,1717,0,1717,0,1707
2025.07.19-14.19.04,1717,0,1717,0,1717
2025.07.19-15.48.58,1719,0,1719,0,1717
2025.07.19-15.49.49,1719,0,1719,0,1719
